,1_period,2_period,3_period
admiration,0.20049224316209244,0.3092422592476377,0.18251439146711196
amusement,0.24748879099207574,0.26791643836954615,-0.1420563948046727
anger,0.023633981062531322,0.2933972862438301,0.23539535896261543
annoyance,0.1656336278891992,0.29369786598962094,0.02611722193341984
approval,0.43391733704242547,0.08737925022910409,-0.4752186198401783
caring,-0.4321961947194028,-0.023221109860799283,0.46505882254750674
confusion,0.1313691406748516,-0.2814392617706053,-0.25671456354778843
curiosity,0.13706167980345518,-0.17287022345263214,-0.2239080796982259
desire,0.21473045796352166,0.24213645379052828,-0.10595823779152878
disappointment,0.18536867209387808,0.47374702423066345,0.012908610409032246
disapproval,-0.08138844747763471,0.19011718544655373,0.34073999062325805
disgust,0.25832375165543303,0.2761729806287208,-0.15367263629312847
embarrassment,0.2642817467529197,0.36281602241111444,-0.11605976275699621
excitement,0.2046766572216142,0.22728606801615367,-0.06938116340878038
fear,0.20509822049112691,0.2920037494586346,-0.07621655501314362
gratitude,-0.33487586781742223,0.3086262481607528,0.650426032700851
grief,-0.3363851820605627,-0.169188668722342,0.23297181901008115
joy,0.12423844742928616,0.2702554057322754,0.03647929400458585
love,0.17712098923845945,0.22722919029430944,0.03801811509463105
nervousness,0.12761932609697005,0.475060199484178,-0.027040544675867403
optimism,0.25163139328831224,0.27534431798691034,-0.09959974381135325
pride,0.17923158861655533,0.27144960345445707,0.029110138361922562
realization,0.3593764232495885,0.11530474072269009,-0.41804927023591043
relief,0.10921328604588869,0.3328464356554844,-0.1503078312780901
remorse,-0.2570117729997145,0.252964717980382,0.351378318261939
sadness,-0.32636425205770647,-0.15237657579629782,0.22823227582087882
surprise,0.2562082199606341,0.29731581442463506,-0.12432821871428121
