,returns,volatility,price_change,Volume
admiration,0.050498359939360624,-0.055667388132306116,0.08211324055086837,0.37892418434164277
amusement,0.07958070974907651,-0.1994142064056358,0.11209501872842725,-0.24198874984005336
anger,0.04603620181875449,-0.21698111486565533,0.07995617520367616,-0.1988341243741373
annoyance,0.05789663999049293,-0.20581206427571352,0.09845151406342363,-0.22996881002358874
approval,0.16352044897994097,-0.14697528729942236,0.17975273021034524,-0.013942336027531898
caring,-0.2252448751159019,0.1498731056533876,-0.24383459265542445,0.03789982025089514
confusion,0.3426986489889881,-0.08984044542262759,0.3174243173630498,-0.15190595539455148
curiosity,0.24317268562946442,-0.05308363811338002,0.23385161756611747,-0.14269525611292527
desire,0.12369224704832313,-0.232479535544913,0.14235095873042858,-0.21180213199592368
disappointment,-0.09421663476079209,-0.1368836125446737,-0.0391094992941583,-0.22213581420923417
disapproval,0.02301954494998342,-0.16188024306953835,0.05583808260056443,-0.1592143233611225
disgust,0.10638518016560258,-0.22536292544278325,0.13162605804117672,-0.22430374012324672
embarrassment,0.050884609355730984,-0.21298486584436882,0.08997419389524884,-0.23923657353044503
excitement,0.09558757563993676,-0.201790755704577,0.12729408965871752,-0.21166037440482643
fear,0.12473958448753279,-0.2513237430850477,0.13852021293405564,-0.20413274677974136
gratitude,-0.13265098698141944,-0.11167119957631083,-0.11579138495986567,-0.13573421914640454
grief,-0.16937249392731707,0.20185309722947828,-0.20050727667637136,0.12428025538018639
joy,0.05632630566402238,-0.20629059472294672,0.08578342290363912,-0.23067216071222096
love,0.12877169862473015,-0.2400764190807251,0.15539635842981772,-0.08761484620516838
nervousness,0.005938491748478689,-0.20999449449642438,0.02066446401963651,-0.2796618911699952
optimism,0.08476295959027164,-0.20711619684480462,0.12337206318823113,-0.2056246134150042
pride,0.08235549078767791,-0.2239784696924785,0.11771969918305629,-0.14606792172081895
realization,0.15614813766382282,-0.16853120428310003,0.1633019656190167,-0.1692968628240172
relief,-0.028135545597575085,-0.1426666276681485,-0.02744791692693579,-0.2410515729391475
remorse,-0.26373446579054405,0.0872084890932478,-0.2553335571953545,-0.0491403969067074
sadness,-0.18186910070463116,0.20815487929151594,-0.2092309914561067,0.1224096543988738
surprise,0.08253681037900995,-0.20584437849970222,0.11959787148790778,-0.246391953529129
