,0
nervousness,0.475060199484178
disappointment,0.47374702423066345
embarrassment,0.36281602241111444
relief,0.3328464356554844
admiration,0.3092422592476377
gratitude,0.3086262481607528
surprise,0.29731581442463506
annoyance,0.29369786598962094
anger,0.2933972862438301
fear,0.2920037494586346
disgust,0.2761729806287208
optimism,0.27534431798691034
pride,0.27144960345445707
joy,0.2702554057322754
amusement,0.26791643836954615
remorse,0.252964717980382
desire,0.24213645379052828
excitement,0.22728606801615367
love,0.22722919029430944
disapproval,0.19011718544655373
realization,0.11530474072269009
approval,0.08737925022910409
caring,-0.023221109860799283
sadness,-0.15237657579629782
grief,-0.169188668722342
curiosity,-0.17287022345263214
confusion,-0.2814392617706053
